filename,L (cm3),W (cm3),H (cm3),Volume (m3),Material Types,Density (kg/m3),Service Temperature (??C),Ultimate Tensile (psi),Unit Cost ($/kg),Tolerance,Tolerance Scaling Factor (Unitless),Process Scaling Factor (Unitless),Time (unitless),Cost (unitless),Quantity (Ea),Supplier,LogScaled_Tolerance,LogScaled_Time,LogScaled_Cost,LogScaled_Quantity,LogScaled_Density,LogScaled_Service_Temperature,LogScaled_Ultimate_Tensile,Category
Bearing_10_Ball__1.binvox,4.347,4.338,4.33,0.081652048,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.861839146,1.111060826,0.349396743,2.000509033,0.463812092,-1.293086866,0.528214802,Bearing_Ball
Bearing_10_Ball__10.binvox,4.347,4.338,4.33,0.081652048,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.866037506,1.106385405,0.356325018,2.006000406,0.463219509,-1.31095922,0.534265139,Bearing_Ball
Bearing_10_Ball__3.binvox,5.216,5.216,4.344,0.118185714,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.862641415,1.114659396,0.357108913,2.004874532,0.44834402,-1.303160672,0.535338036,Bearing_Ball
Bearing_10_Ball__4.binvox,3.478,3.477,4.346,0.052556204,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.863098006,1.101928405,0.349561344,2.007582453,0.461463986,-1.295155476,0.533214171,Bearing_Ball
Bearing_10_Ball__5.binvox,3.912,3.909,4.341,0.066382607,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.856583535,1.106282814,0.367106394,2.006600128,0.457149421,-1.295053612,0.522888571,Bearing_Ball
Bearing_10_Ball__7.binvox,4.347,4.347,4.345,0.082104897,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.863009356,1.114848297,0.350010355,1.999415171,0.458768977,-1.292572178,0.526907325,Bearing_Ball
Bearing_10_Ball__8.binvox,4.347,4.338,4.33,0.081652048,High Carbon steel,7850,120.0,174000.0,4320,4,10,4.5,45.0,194400.0,16,"1,19",-0.859360277,1.119701286,0.355258607,2.003521179,0.46406723,-1.303000365,0.539202698,Bearing_Ball
Bearing_10_InnerRing__1.binvox,18.095,18.098,7.938,2.599562515,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.864605863,1.274643645,0.453598257,-0.691662033,0.462261062,-1.306725495,0.527417307,Bearing_InnerRing
Bearing_10_InnerRing__10.binvox,18.095,18.098,7.938,2.599562515,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.865853344,1.272747499,0.453839991,-0.679473292,0.450499112,-1.296440866,0.520699863,Bearing_InnerRing
Bearing_10_InnerRing__3.binvox,21.707,21.717,7.938,3.742059875,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.865790691,1.289705947,0.454134551,-0.690115493,0.466266055,-1.305403347,0.531305334,Bearing_InnerRing
Bearing_10_InnerRing__4.binvox,14.478,14.478,7.938,1.663903898,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.854105913,1.285041631,0.453086022,-0.683901221,0.446832938,-1.292206528,0.523321559,Bearing_InnerRing
Bearing_10_InnerRing__5.binvox,16.286,16.288,7.938,2.105684429,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.865933618,1.289580081,0.441438891,-0.680895543,0.453632073,-1.303763506,0.538556246,Bearing_InnerRing
Bearing_10_InnerRing__7.binvox,18.098,18.098,7.938,2.599993501,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.859694979,1.284975369,0.442061108,-0.678915141,0.457624432,-1.305456105,0.536630715,Bearing_InnerRing
Bearing_10_InnerRing__8.binvox,18.095,18.098,7.938,2.599562515,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.850369306,1.284380182,0.442762654,-0.683130567,0.464250084,-1.307813425,0.519694368,Bearing_InnerRing
Bearing_10_OuterRing__1.binvox,28.573,28.575,7.938,6.481166445,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.85445708,1.271510224,0.440430519,-0.689078901,0.455318073,-1.305368764,0.521786156,Bearing_OuterRing
Bearing_10_OuterRing__10.binvox,28.573,28.571,7.938,6.480259195,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.862956153,1.275879846,0.440921936,-0.680754892,0.46488945,-1.29194209,0.525838207,Bearing_OuterRing
Bearing_10_OuterRing__3.binvox,34.29,34.29,7.938,9.333532946,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.863019913,1.285854778,0.455840767,-0.685800917,0.466453443,-1.297309466,0.537334778,Bearing_OuterRing
Bearing_10_OuterRing__4.binvox,22.853,22.86,7.938,4.146966626,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.862907356,1.287630807,0.453872132,-0.678920224,0.457609481,-1.302937597,0.526310988,Bearing_OuterRing
Bearing_10_OuterRing__5.binvox,25.716,25.717,7.938,5.249703997,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.851845349,1.272831755,0.452151603,-0.687043724,0.454626096,-1.311104313,0.533426316,Bearing_OuterRing
Bearing_10_OuterRing__7.binvox,32.0,32.0,7.938,8.128512,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.862932783,1.284768239,0.439006397,-0.694311187,0.448940722,-1.294098485,0.520642247,Bearing_OuterRing
Bearing_10_OuterRing__8.binvox,28.573,28.571,7.938,6.480259195,High Carbon steel,7850,120.0,174000.0,4320,4,10,5.5,55.0,237600.0,2,"1,19",-0.860658965,1.274571836,0.456023723,-0.688270803,0.449152894,-1.293928801,0.532160302,Bearing_OuterRing
Bearing_10_Seal__1.binvox,23.175,23.173,1.597,0.857643737,Natural rubber,925,120.0,3500.0,3420,100,2,0.2,0.4,1368.0,4,"2,20",1.107339754,-1.903942963,-1.835072089,0.11442976,-3.071011257,-1.299364125,-2.918697381,Bearing_Seal
Bearing_10_Seal__10.binvox,23.175,23.173,1.597,0.857643737,Natural rubber,925,120.0,3500.0,3420,100,2,0.2,0.4,1368.0,4,"2,20",1.097144779,-1.895141856,-1.825608607,0.109245855,-3.077575204,-1.295091308,-2.920400723,Bearing_Seal
Bearing_10_Seal__3.binvox,27.81,27.808,1.597,1.235024747,Natural rubber,925,120.0,3500.0,3420,100,2,0.2,0.4,1368.0,4,"2,20",1.106669675,-1.887535504,-1.831581177,0.0998657,-3.063572695,-1.299633933,-2.93303306,Bearing_Seal
Bearing_10_Seal__4.binvox,18.535,18.542,1.597,0.548850524,Natural rubber,925,120.0,3500.0,3420,100,2,0.2,0.4,1368.0,4,"2,20",1.094765849,-1.903850108,-1.837029283,0.104876107,-3.071556091,-1.299874549,-2.928327224,Bearing_Seal
Bearing_10_Seal__5.binvox,20.852,20.86,1.597,0.694651434,Natural rubber,925,120.0,3500.0,3420,100,2,0.2,0.4,1368.0,4,"2,20",1.098381668,-1.894800742,-1.826725354,0.098842767,-3.062508633,-1.308358694,-2.921219614,Bearing_Seal
Bearing_10_Seal__7.binvox,23.175,23.178,0.597,0.32067864,Natural rubber,925,120.0,3500.0,3420,100,2,0.2,0.4,1368.0,4,"2,20",1.094991669,-1.902748229,-1.83838884,0.114152708,-3.072623777,-1.308763851,-2.931121947,Bearing_Seal
Bearing_10_Seal__8.binvox,23.175,23.173,1.597,0.857643737,Natural rubber,925,120.0,3500.0,3420,100,2,0.2,0.4,1368.0,4,"2,20",1.107947471,-1.896625047,-1.83114161,0.108044563,-3.064339752,-1.298716814,-2.936826996,Bearing_Seal
