sample_id,filename,supplier,Capacity,Time,Cost,Tolerance
0,Bearing_10_Ball__1.binvox,1,16,43.34146251,201684.7866,4
1,Bearing_10_Ball__10.binvox,1,16,44.27916153,190472.0928,4
2,Bearing_10_Ball__3.binvox,1,16,43.19522534,184857.3948,4
3,Bearing_10_Ball__4.binvox,1,16,46.80821996,198741.9534,4
4,Bearing_10_Ball__5.binvox,1,16,45.68561784,197022.0958,4
5,Bearing_10_Ball__7.binvox,1,16,42.79660791,203349.7693,4
6,Bearing_10_Ball__8.binvox,1,16,46.55152987,201231.3825,4
7,Bearing_10_InnerRing__1.binvox,1,2,54.87588737,244595.7881,4
8,Bearing_10_InnerRing__10.binvox,1,2,57.62674009,242804.7508,4
9,Bearing_10_InnerRing__3.binvox,1,2,55.40865405,241206.1601,4
10,Bearing_10_InnerRing__4.binvox,1,2,55.21135346,247898.1978,4
11,Bearing_10_InnerRing__5.binvox,1,2,53.6048399,226749.6578,4
12,Bearing_10_InnerRing__7.binvox,1,2,57.30321258,241652.3491,4
13,Bearing_10_InnerRing__8.binvox,1,2,53.47068888,233871.0682,4
14,Bearing_10_OuterRing__1.binvox,1,2,56.87633341,228327.4224,4
15,Bearing_10_OuterRing__10.binvox,1,2,52.79133023,242835.6604,4
16,Bearing_10_OuterRing__3.binvox,1,2,52.42887827,245233.8012,4
17,Bearing_10_OuterRing__4.binvox,1,2,57.42259463,247646.3816,4
18,Bearing_10_OuterRing__5.binvox,1,2,54.58292829,238789.6452,4
19,Bearing_10_OuterRing__7.binvox,1,2,54.71818161,232314.3603,4
20,Bearing_10_OuterRing__8.binvox,1,2,54.24243562,229420.7766,4
21,Bearing_10_Seal__1.binvox,2,4,0.393024832,1340.622101,100
22,Bearing_10_Seal__10.binvox,2,4,0.41249579,1344.709393,100
23,Bearing_10_Seal__3.binvox,2,4,0.417772661,1387.180109,100
24,Bearing_10_Seal__4.binvox,2,4,0.398124285,1373.682283,100
25,Bearing_10_Seal__5.binvox,2,4,0.398376559,1357.874636,100
26,Bearing_10_Seal__7.binvox,2,4,0.384911585,1390.860693,100
27,Bearing_10_Seal__8.binvox,2,4,0.38104688,1322.709767,100
28,Bearing_1_Ball__1.binvox,1,16,46.20952192,198521.7598,4
29,Bearing_1_Ball__10.binvox,1,16,46.5880942,197966.1942,4
30,Bearing_1_Ball__3.binvox,1,16,45.32932637,194444.6288,4
31,Bearing_1_Ball__4.binvox,1,16,46.65376818,199033.91,4
32,Bearing_1_Ball__5.binvox,1,16,47.21928912,201970.9981,4
33,Bearing_1_Ball__7.binvox,1,16,44.80028514,195119.7089,4
34,Bearing_1_Ball__8.binvox,1,16,44.62825444,192962.9894,4
35,Bearing_1_Cage__1.binvox,1,4,2.004753176,8999.558964,50
36,Bearing_1_Cage__10.binvox,1,4,2.045825652,9244.920112,50
37,Bearing_1_Cage__3.binvox,1,4,2.036937784,9081.069135,50
38,Bearing_1_Cage__4.binvox,1,4,2.061365295,9105.053629,50
39,Bearing_1_Cage__5.binvox,1,4,2.059296818,9445.488962,50
40,Bearing_1_Cage__7.binvox,1,4,1.927847767,9443.069118,50
41,Bearing_1_Cage__8.binvox,1,4,2.091079725,9768.073627,50
42,Bearing_1_InnerRing__1.binvox,1,2,55.48533107,239627.3144,4
43,Bearing_1_InnerRing__10.binvox,1,2,56.09933278,228886.4184,4
44,Bearing_1_InnerRing__3.binvox,1,2,54.84356437,237475.1266,4
45,Bearing_1_InnerRing__4.binvox,1,2,53.8153589,243417.676,4
46,Bearing_1_InnerRing__5.binvox,1,2,55.66197201,248619.3848,4
47,Bearing_1_InnerRing__7.binvox,1,2,52.90129834,228983.8772,4
48,Bearing_1_InnerRing__8.binvox,1,2,52.70796432,247708.5576,4
49,Bearing_1_OuterRing__1.binvox,1,2,57.4178409,234025.312,4
50,Bearing_1_OuterRing__10.binvox,1,2,54.03519896,246818.0505,4
51,Bearing_1_OuterRing__3.binvox,1,2,56.82258853,240117.8329,4
52,Bearing_1_OuterRing__4.binvox,1,2,55.2571791,238435.369,4
53,Bearing_1_OuterRing__5.binvox,1,2,52.67927389,240190.0173,4
54,Bearing_1_OuterRing__7.binvox,1,2,52.64785851,235994.9444,4
55,Bearing_1_OuterRing__8.binvox,1,2,53.81559419,233274.9527,4
56,Bearing_2_Ball__1.binvox,1,16,46.76527787,202853.7211,4
57,Bearing_2_Ball__10.binvox,1,16,46.80098769,202109.3605,4
58,Bearing_2_Ball__3.binvox,1,16,46.81909433,191778.4886,4
59,Bearing_2_Ball__4.binvox,1,16,43.11034467,194854.2395,4
60,Bearing_2_Ball__5.binvox,1,16,43.82701914,193109.5298,4
61,Bearing_2_Ball__7.binvox,1,16,45.27264254,188045.6734,4
62,Bearing_2_Ball__8.binvox,1,16,47.16517681,203490.6109,4
63,Bearing_2_InnerRing__1.binvox,1,2,57.29445097,247892.3002,4
64,Bearing_2_InnerRing__10.binvox,1,2,53.68862871,245425.5418,4
